Total runtime:	1192
Thread:	0	1	2	3
Number of tasks completed:	3238	3579	3183	14810816
Time working:	3	11	51	4294967297
Time in overhead:	1	0	2	528
Time mutex blocked:	0	0	0	529
Time blocked by master thread:	0	0	0	15227984
