Total runtime:	1045
Thread:	0	1	2	3
Number of tasks completed:	3464	3240	3296	15476048
Time working:	5	15	52	4294967297
Time in overhead:	0	0	1	528
Time mutex blocked:	0	0	0	529
Time blocked by master thread:	0	0	0	14861968
