Total runtime:	1124
Thread:	0	1	2	3
Number of tasks completed:	4000	3000	3000	14861968
Time working:	1	31	50	4294967297
Time in overhead:	0	0	0	528
Time mutex blocked:	0	0	0	529
Time blocked by master thread:	0	0	0	15548400
