Total runtime:	1052
Thread:	0	1	2	3
Number of tasks completed:	3396	3368	3236	15419200
Time working:	6	1	5	4294967297
Time in overhead:	0	0	0	528
Time mutex blocked:	0	0	0	529
Time blocked by master thread:	0	0	0	15517392
