Total runtime:	1109
Thread:	0	1	2	3
Number of tasks completed:	3433	3212	3355	14846464
Time working:	7	30	8	4294967297
Time in overhead:	0	0	0	528
Time mutex blocked:	0	0	0	529
Time blocked by master thread:	0	0	0	14856800
