Total runtime:	1022
Thread:	0	1	2	3
Number of tasks completed:	3262	3319	3419	15346848
Time working:	13	2	9	4294967297
Time in overhead:	0	0	0	528
Time mutex blocked:	0	0	0	529
Time blocked by master thread:	0	0	0	14601792
