Total runtime:	1047
Thread:	0	1	2	3
Number of tasks completed:	3501	3315	3184	15465712
Time working:	1	1	67	4294967297
Time in overhead:	2	2	2	528
Time mutex blocked:	0	0	0	529
Time blocked by master thread:	0	0	0	14810816
