Total runtime:	1213
Thread:	0	1	2	3
Number of tasks completed:	3333	3131	3536	15527728
Time working:	35	84	12	4294967297
Time in overhead:	1	1	0	528
Time mutex blocked:	0	0	0	529
Time blocked by master thread:	0	0	0	15346848
