Total runtime:	35067
Thread:	0	1	2
Number of tasks completed:	68500	65500	66000
Time working:	869	2568	2597
Time in overhead:	33	185	0
Time mutex blocked:	0	0	0
Time blocked by master thread:	0	0	0
