Total runtime:	32518
Thread:	0	1	2	3	4	5	6	7
Number of tasks completed:	0	0	0	0	1	1	1	1
Time working:	0	0	0	0	4294967297	4294967297	19536	4294967297
Time in overhead:	10502	10503	10503	10502	4294967297	4294967297	528	4294967297
Time mutex blocked:	0	0	0	0	4294967297	4294967297	4294967297	4294967297
Time blocked by master thread:	0	0	0	0	4294967297	4294967297	4294967297	4294967297
